id,group_key,name,type,styles,aisle,quantity_per_person,unit,calories,protein,carbs,fat,shelf_days,freeze_after,notes
beef-ragu,proteins,Beef ragu base,Protein,"balanced|high-protein",Protein,180,g,290,28,8,16,4,2,"Works for spaghetti bolognese, lasagna, shepherd's pie and chili-style meals."
grilled-chicken,proteins,Grilled chicken strips,Protein,"balanced|high-protein|low-carb",Protein,170,g,240,33,2,9,4,2,"Useful across salads, wraps, tacos, pasta and bowls."
salmon-fillets,proteins,Roasted salmon fillets,Protein,"balanced|low-carb",Protein,170,g,285,31,0,17,3,1,"Good for rice plates, baked dinners and light meal-prep boxes."
falafel-mix,proteins,Falafel and chickpea mix,Protein,"balanced|vegetarian",Dry goods,160,g,260,14,24,11,4,2,"Vegetarian protein base for wraps, bowls and salads."
spaghetti-pasta,grains,Spaghetti and pasta pot,Grain,"balanced|high-protein",Dry goods,90,g,320,10,63,3,4,2,"Batch once for bolognese, alfredo, mac and cheese and pasta bakes."
rice-quinoa,grains,Rice and quinoa batch,Grain,"balanced|high-protein|vegetarian",Dry goods,90,g,305,9,58,4,5,3,"Flexible base for bowls, fried rice, burrito bowls and salmon plates."
roast-potatoes,grains,Roasted potatoes tray,Grain,"balanced|comfort|low-carb",Produce,250,g,245,5,42,7,4,2,"Turns into fries, potato sides and hearty plated meals."
zucchini-noodles,grains,Zucchini noodle base,Grain,"vegetarian|low-carb",Produce,220,g,55,4,9,1,3,1,"Light base for pesto meals and low-carb plates."
roasted-vegetables,vegetables,Roasted vegetables tray,Vegetable,"balanced|high-protein|vegetarian|low-carb",Produce,260,g,130,5,18,5,4,2,"Broccoli, peppers, onions and courgette for bowls, wraps and sides."
salad-kit,vegetables,Salad and raw veg kit,Vegetable,"balanced|vegetarian|low-carb",Produce,220,g,85,3,12,3,3,0,"Lettuce, cucumber, tomato and red onion for wraps and light meals."
broccoli-greens,vegetables,Broccoli and greens tray,Vegetable,"balanced|high-protein|low-carb",Produce,240,g,95,5,13,3,4,2,"Steamed or roasted greens for salmon, steak and roast dinners."
tomato-sauce,sauces,Tomato basil sauce,Sauce,"balanced|vegetarian",Pantry,70,g,75,2,10,2,5,2,"Supports pasta, pizza, stuffed peppers and comforting dishes."
pesto-yogurt,sauces,Pesto yogurt sauce,Sauce,"balanced|vegetarian|low-carb",Dairy,45,g,95,4,3,7,4,0,"Bright sauce for zucchini noodles, bowls and wraps."
creamy-curry,sauces,Creamy curry sauce,Sauce,"balanced|high-protein",Pantry,65,g,120,3,7,8,4,1,"Useful for butter chicken, chicken wraps and rich skillet meals."
